season_id,season
537,Winter
538,Winter
539,Winter
540,Winter
541,Winter
542,Winter
543,Winter
544,Winter
545,Winter
546,Winter
547,Winter
548,Winter
549,Winter
550,Winter
551,Winter
552,Winter
553,Winter
554,Winter
555,Winter
556,Winter
557,Winter
558,Winter
559,Winter
560,Winter
561,Winter
562,Winter
563,Winter
564,Winter
565,Winter
566,Winter
567,Winter
568,Winter
569,Winter
570,Winter
571,Winter
572,Winter
573,Winter
574,Winter
575,Winter
576,Winter
577,Winter
578,Winter
579,Winter
580,Winter
581,Winter
582,Winter
583,Winter
584,Winter
585,Winter
586,Winter
587,Winter
588,Winter
589,Winter
590,Winter
591,Winter
592,Winter
593,Winter
594,Winter
595,Winter
596,Winter
597,Winter
598,Winter
599,Winter
600,Winter
601,Winter
602,Winter
603,Winter
604,Winter
605,Winter
606,Winter
607,Winter
608,Winter
609,Winter
610,Winter
611,Winter
612,Winter
613,Winter
614,Winter
615,Winter
616,Winter
617,Winter
618,Winter
619,Winter
620,Winter
621,Winter
622,Winter
623,Winter
624,Winter
625,Winter
626,Winter
627,Winter
628,Winter
629,Winter
630,Winter
631,Winter
632,Winter
633,Winter
634,Winter
635,Winter
636,Winter
637,Winter
638,Winter
639,Winter
640,Winter
641,Winter
642,Winter
643,Winter
644,Winter
645,Winter
646,Winter
647,Winter
648,Winter
649,Winter
650,Winter
651,Winter
652,Winter
653,Winter
654,Winter
655,Winter
656,Winter
657,Winter
658,Winter
659,Winter
660,Winter
661,Winter
662,Winter
663,Winter
664,Winter
665,Winter
666,Winter
667,Winter
668,Winter
669,Winter
670,Winter
671,Winter
672,Winter
673,Winter
674,Winter
675,Winter
676,Winter
677,Winter
678,Winter
679,Winter
680,Winter
681,Winter
682,Winter
683,Winter
684,Winter
685,Winter
686,Winter
687,Winter
688,Winter
689,Winter
690,Winter
691,Winter
692,Winter
693,Winter
694,Winter
695,Winter
696,Winter
697,Winter
698,Winter
699,Winter
700,Winter
701,Winter
702,Winter
703,Winter
704,Winter
705,Winter
706,Winter
707,Winter
708,Winter
709,Winter
710,Winter
711,Winter
712,Winter
713,Winter
714,Winter
715,Winter
716,Winter
717,Winter
718,Winter
719,Winter
720,Winter
721,Winter
722,Winter
723,Winter
724,Winter
725,Winter
726,Winter
727,Winter
728,Winter
729,Winter
730,Winter
731,Winter
732,Winter
733,Winter
734,Winter
735,Winter
736,Winter
737,Winter
738,Winter
739,Winter
740,Winter
741,Winter
742,Winter
743,Winter
744,Winter
745,Winter
746,Winter
747,Winter
748,Winter
749,Winter
750,Winter
751,Winter
752,Winter
753,Winter
754,Winter
755,Winter
756,Winter
757,Winter
758,Winter
759,Winter
760,Winter
761,Winter
762,Winter
763,Winter
764,Winter
765,Winter
766,Winter
767,Winter
768,Winter
769,Winter
770,Winter
771,Winter
772,Winter
773,Winter
774,Winter
775,Winter
776,Winter
777,Winter
778,Winter
779,Winter
780,Winter
781,Winter
782,Winter
783,Winter
784,Winter
785,Winter
786,Winter
787,Winter
788,Winter
789,Winter
790,Winter
791,Winter
792,Winter
793,Winter
794,Winter
795,Winter
796,Winter
797,Winter
798,Winter
799,Winter
800,Winter
801,Winter
802,Winter
803,Winter
804,Winter
805,Winter
806,Winter
807,Winter
808,Winter
809,Winter
810,Winter
811,Winter
812,Winter
813,Winter
814,Winter
815,Winter
816,Winter
817,Winter
818,Winter
819,Winter
820,Winter
821,Winter
822,Winter
823,Winter
824,Winter
825,Winter
826,Winter
827,Winter
828,Winter
829,Winter
830,Winter
831,Winter
832,Winter
833,Winter
834,Winter
835,Winter
836,Winter
837,Winter
838,Winter
839,Winter
840,Winter
841,Winter
842,Winter
843,Winter
844,Winter
845,Winter
846,Winter
847,Winter
848,Winter
849,Winter
850,Winter
851,Winter
852,Winter
853,Winter
854,Winter
855,Winter
856,Winter
857,Winter
858,Winter
859,Winter
860,Winter
861,Winter
862,Winter
863,Winter
864,Winter
865,Winter
866,Winter
867,Winter
868,Winter
869,Winter
870,Winter
871,Winter
872,Winter
873,Winter
874,Winter
875,Winter
876,Winter
877,Winter
878,Winter
879,Winter
880,Winter
881,Winter
882,Winter
883,Winter
884,Winter
885,Winter
886,Winter
887,Winter
888,Winter
889,Winter
890,Winter
891,Winter
892,Winter
893,Winter
894,Winter
895,Winter
896,Winter
897,Winter
898,Winter
899,Winter
900,Winter
901,Winter
902,Winter
903,Winter
904,Winter
905,Winter
906,Winter
907,Winter
908,Winter
909,Winter
910,Winter
911,Winter
912,Winter
913,Winter
914,Winter
915,Winter
916,Winter
917,Winter
918,Winter
919,Winter
920,Winter
921,Winter
922,Winter
923,Winter
924,Winter
925,Winter
926,Winter
927,Winter
928,Winter
929,Winter
930,Winter
931,Winter
932,Winter
933,Winter
934,Winter
935,Winter
936,Winter
937,Winter
938,Winter
939,Winter
940,Winter
941,Winter
942,Winter
943,Winter
944,Winter
945,Winter
946,Winter
947,Winter
948,Winter
949,Winter
950,Winter
951,Winter
952,Winter
953,Winter
954,Winter
955,Winter
956,Winter
957,Winter
958,Winter
959,Winter
960,Winter
961,Winter
962,Winter
963,Winter
964,Winter
965,Winter
966,Winter
967,Winter
968,Winter
969,Winter
970,Winter
971,Winter
972,Winter
973,Winter
974,Winter
975,Winter
976,Winter
977,Winter
978,Winter
979,Winter
980,Winter
981,Winter
982,Winter
983,Winter
984,Winter
985,Winter
986,Winter
987,Winter
988,Winter
989,Winter
990,Winter
991,Winter
992,Winter
993,Winter
994,Winter
995,Winter
996,Winter
997,Winter
998,Winter
999,Winter
1000,Winter
1001,Winter
1002,Winter
1003,Winter
1004,Winter
1005,Winter
1006,Winter
1007,Winter
1008,Winter
1009,Winter
1010,Winter
1011,Winter
1012,Winter
1013,Winter
1014,Winter
1015,Winter
1016,Winter
1017,Winter
1018,Winter
1019,Winter
1020,Winter
1021,Winter
1022,Winter
1023,Winter
1024,Winter
1025,Winter
1026,Winter
1027,Winter
1028,Winter
1029,Winter
1030,Winter
1031,Winter
1032,Winter
1033,Winter
1034,Winter
1035,Winter
1036,Winter
1037,Winter
1038,Winter
1039,Winter
1040,Winter
1041,Winter
1042,Winter
1043,Winter
1044,Winter
1045,Winter
1046,Winter
1047,Winter
1048,Winter
1049,Winter
1050,Winter
1051,Winter
1052,Winter
1053,Winter
1054,Winter
1055,Winter
1056,Winter
1057,Winter
1058,Winter
1059,Winter
1060,Winter
1061,Winter
1062,Winter
1063,Winter
1064,Winter
1065,Winter
1066,Winter
1067,Winter
1068,Winter
1069,Winter
1070,Winter
1071,Winter
1072,Winter
1073,Winter
1074,Winter
1075,Winter
1076,Winter
1077,Winter
1078,Winter
1079,Winter
